abs_first_discharge_capacity_difference_cycles_2:100,abs_kurtosis_discharge_capacity_difference_cycles_2:100,abs_mean_discharge_capacity_difference_cycles_2:100,abs_min_discharge_capacity_difference_cycles_2:100,abs_skew_discharge_capacity_difference_cycles_2:100,abs_variance_discharge_capacity_difference_cycles_2:100,battery_index,charge_time_cycles_1:5,discharge_capacity_cycle_100,discharge_capacity_cycle_2,integrated_time_temperature_cycles_1:100,intercept_discharge_capacity_cycle_number_2:100,intercept_discharge_capacity_cycle_number_91:100,max_discharge_capacity_difference,max_temperature_cycles_1:100,min_temperature_cycles_1:100,nominal_capacity_by_median,slope_discharge_capacity_cycle_number_2:100,slope_discharge_capacity_cycle_number_91:100,capacity_0.8,capacity_0.83,capacity_0.86,capacity_0.89,capacity_0.92,capacity_0.95,capacity_0.98
-0.7546812508422339,0.5008987674130905,-1.336708943664313,0.2513970581789469,-0.21463230815466786,-0.5439498734431408,10,2048.0,2.611,2.929,434951.4205769856,2.9478242424242422,2.71605454545455,2.8380000000000005,40.069000244140625,24.56800079345703,2.774,-0.004233747374737471,-0.0010545454545455124,660.0,132.0,132.0,132.0,132.0,79.0,36.0
-1.2403129579402994,0.36194481420887586,-0.7160754413157211,0.17718736403827967,-0.3609581813172603,-0.5917418052743423,11,2048.0,2.63,2.793,428807.19724121096,2.910203030303031,2.743145454545455,2.748,42.09299850463867,23.95800018310547,2.7715,-0.0034555055505550588,-0.0011454545454545643,132.0,132.0,132.0,132.0,132.0,97.0,41.0
-0.6649916831765217,-0.07720437104466749,-1.0398886601439954,0.28803266945406086,-0.46818883438627473,-0.27659788202602853,12,2099.199951171875,2.6210000000000004,2.938,439756.74818522134,2.964301212121213,2.47465454545453,2.8799999999999994,44.59600067138672,25.378999710083008,2.7865,-0.004339033903390338,0.001545454545454692,729.0,729.0,213.0,213.0,126.0,78.0,36.0
-0.6350514048716748,0.04966934792700521,-1.1138875644686264,0.30644674161977614,-0.42310860882583246,-0.26569180129791736,13,2048.0,2.629,2.965,444173.71905924473,2.9747612121212113,2.742145454545445,2.8840000000000003,46.013999938964844,25.242000579833984,2.7935000000000003,-0.004376063606360615,-0.0011454545454544639,551.0,551.0,212.0,212.0,174.0,79.0,36.0
-0.5969255051531818,-1.7039822307644203,-0.5451792342592954,0.3401483700513604,-0.17675482542301327,-0.027987683467609614,14,2099.199951171875,2.6180000000000003,2.958,438253.20078938804,2.9616119772626632,2.728381818181809,2.801,49.45500183105469,26.343000411987305,2.789,-0.004248163844721228,-0.0011151515151514276,697.0,697.0,58.0,58.0,58.0,58.0,35.0
-0.6025566579205176,0.014303220649557144,-1.1048260743593792,0.30661202495780143,-0.6647603519733967,-0.24458157760844404,15,2099.199951171875,2.632,2.9730000000000003,456925.050797526,2.9826581818181808,2.736254545454542,2.8940000000000006,47.7869987487793,25.945999145507812,2.7995,-0.004443330333033293,-0.0010545454545454302,904.0,904.0,211.0,211.0,135.0,76.0,35.0
-1.2901098315281028,0.8172327607041459,-1.2347536714761502,0.17528413053390354,-0.3877871917752703,-0.9590624543273597,16,2073.60009765625,1.8,2.969,397114.4382568359,1.960127878787878,1.800000000000005,0.0,28.638999938964844,24.940000534057617,1.8,-0.0023623342334233273,-5.302977324059797e-17,4350.0,4350.0,4350.0,4350.0,4350.0,4350.0,4350.0
-0.9365835319070298,0.4900105812342858,-0.7026809316558381,0.21789542916994856,-0.1838237202168735,-0.7244786862235473,17,2048.0,1.8,2.98,401200.1458374023,1.9615060606060601,1.800000000000005,0.0,28.97599983215332,25.329999923706055,1.8,-0.002382694269426937,-5.302977324059797e-17,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0
-1.040485825580001,1.1599949218904697,-0.7682807064687219,-0.3724996370657407,0.5579159459529404,-1.2594399301038668,19,2073.60009765625,1.8,2.985,386951.60419514973,1.961895151515152,1.800000000000005,0.0,27.7189998626709,24.400999069213867,1.8,-0.0023886168616861683,-5.302977324059797e-17,3359.0,3359.0,3359.0,3359.0,3359.0,3359.0,3359.0
-0.9526132866688809,0.6199706808708926,-0.7546215779908402,-inf,0.3762873126310984,-1.5674463308536641,20,2048.0,1.8,2.982,265601.86747639976,1.961641212121211,1.7981818181818194,0.0,42.4010009765625,25.510000228881836,1.8,-0.0023849744974497322,1.818181818179911e-05,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0
-1.6777807052660827,-0.59412570553752,-1.6873297182336686,-1.6777807052660803,0.08079818255080605,-6.2460624402523734,22,2176.0,0.6,2.988,158659.8258585612,0.9270618181818181,0.5999999999999998,0.0,28.655000686645508,24.158000946044922,0.6,-0.004825184518451842,-5.61029937720304e-19,11149.0,11149.0,11149.0,11149.0,11149.0,11149.0,11149.0
-2.0209412632102994,-0.10350147727427797,-2.099444433890713,-2.633364782744541,-0.08346027988239933,-4.577854457885847,24,2112.0,0.6,2.952,122964.30210774738,0.9229630303030298,0.5999999999999998,0.0,41.819000244140625,26.83099937438965,0.6,-0.004764614461446135,-5.61029937720304e-19,12918.0,12918.0,12918.0,12918.0,12918.0,12918.0,12918.0
-1.6246454619979,0.08324845148600563,-2.047961003541657,-1.6246454619979,-0.10649063514169288,-4.234325090111181,25,2112.0,0.6,2.965,120319.7609781901,0.9242654545454544,0.5999999999999998,0.0,40.529998779296875,26.301000595092773,0.6,-0.0047838703870387,-5.61029937720304e-19,11148.0,11148.0,11148.0,11148.0,11148.0,11148.0,11148.0
-0.788650550437607,0.3433307713020147,-1.0999143247135064,0.36319018947399195,-0.3997886122017519,-0.2983099917955278,26,2176.0,2.644,2.963,695577.0517333334,2.9732587878787875,2.746909090909081,2.856,41.87200164794922,35.22999954223633,2.7990000000000004,-0.004177005700570047,-0.0010424242424241577,653.0,653.0,257.0,257.0,196.0,85.0,37.0
-0.7010516487861719,0.3950334544363524,-1.7475252024053076,0.35114015690984024,-0.299305155618635,-0.32733617090649053,27,2150.39990234375,2.617,2.945,688295.4064208984,2.9913824242424236,0.17727272727273793,2.858,41.3380012512207,35.27000045776367,2.8005,-0.004756483648364828,0.02492727272727262,785.0,785.0,93.0,90.0,90.0,84.0,37.0
-0.7664163657412655,0.4887451741527989,-1.5730921871670849,0.3717511795396373,-2.8634415331457688,-0.33338469631442874,28,2150.39990234375,2.642,2.967,695101.4485333335,2.975458181818181,2.737763636363642,2.8659999999999983,39.84400177001953,35.590999603271484,2.7990000000000004,-0.004236597659765964,-0.0009636363636364346,652.0,652.0,256.0,256.0,190.0,83.0,37.0
-0.8943458807746157,0.5473617643497577,-1.822007121879283,0.3427005914122407,-0.1719899702207116,-0.4388101350689559,29,2124.800048828125,2.645,2.899,691622.1087999999,2.9154327272727274,2.7346363636363598,2.8120000000000003,41.24700164794922,35.85100173950195,2.7285000000000004,-0.0035145094509450867,-0.0009030303030302711,653.0,653.0,20.0,20.0,20.0,20.0,20.0
-0.6532335572364744,0.19181390499037115,-2.7062329374324436,0.16104100855958128,-0.18761522352824503,-0.5129723070168605,30,2150.39990234375,2.653,2.957,634530.8264567058,2.9681672727272717,2.753418181818187,2.843,47.37099838256836,35.483001708984375,2.8145000000000002,-0.003949054905490533,-0.001018181818181878,785.0,785.0,257.0,170.0,2.0,2.0,2.0
-0.9481241075976108,0.27145983513623784,-1.43196512918129,0.3629818680050261,-1.4297905607243449,-0.2623210505453838,31,2150.39990234375,2.624,2.915,644289.592569987,2.937593333333333,2.733509090909086,2.771,47.10300064086914,35.50400161743164,2.7725,-0.004045016501650156,-0.0011090909090908678,771.0,771.0,71.0,71.0,71.0,71.0,38.0
